gauntlet: agent@engine vs sf_agent@tests | 100 pairs (200 games) | 10000ms+100ms | 3 workers
 194 games  +76 =93 -25   +94 Elo +/- 35   1377s   
 195 games  +77 =93 -25   +95 Elo +/- 35   1401s   
 196 games  +77 =93 -26   +93 Elo +/- 35   1426s   
 197 games  +77 =94 -26   +92 Elo +/- 35   1455s   
 198 games  +78 =94 -26   +93 Elo +/- 35   1476s   
 199 games  +78 =95 -26   +93 Elo +/- 35   1498s   
 200 games  +79 =95 -26   +94 Elo +/- 35   1521s   

=== FINAL ===
+79 =95 -26  out of 200   score 63.2%   +94 Elo +/- 35
no crashes, illegal moves, or flags
